Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfilment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,SEO Title,SEO Description,Status,Metafield: supplement.form [single_line_text_field],Metafield: supplement.servings [number_integer],Metafield: supplement.recommended_daily_portion [single_line_text_field],Metafield: supplement.ingredients_draft [multi_line_text_field],Metafield: supplement.allergens_draft [single_line_text_field],Metafield: supplement.cautions_draft [multi_line_text_field],Metafield: supplement.image_packshot [single_line_text_field],Metafield: supplement.image_lifestyle [single_line_text_field]
vitamin-d3-25-mcg,"Vitamin D3 25 µg","<p>Vitamin D3 food supplement in vegan tablets.</p><p><strong>Draft daily portion:</strong> one tablet.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,vitamin d,vegan",FALSE,"Title","Default Title","DH-VD3-001",45,"shopify",100,"deny","manual",9.95,TRUE,TRUE,,"Vitamin D3 25 µg | Double Helix","Vegan vitamin D3 food supplement. 120 tablets.",DRAFT,"120 vegan tablets",120,"1 tablet","Vitamin D3 (cholecalciferol), bulking agent (microcrystalline cellulose), anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Consult a healthcare professional before use if pregnant, breastfeeding, taking medication, or under medical supervision.","double-helix-vitamin-d3-packshot.png","double-helix-vitamin-d3-lifestyle.png"
vitamin-c-zinc,"Vitamin C + Zinc","<p>Vitamin C and zinc food supplement in tablets.</p><p><strong>Draft daily portion:</strong> one tablet.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,vitamin c,zinc,vegan",FALSE,"Title","Default Title","DH-CZ-002",75,"shopify",100,"deny","manual",11.95,TRUE,TRUE,,"Vitamin C + Zinc | Double Helix","Vitamin C and zinc food supplement. 90 tablets.",DRAFT,"90 tablets",90,"1 tablet","L-ascorbic acid, bulking agents (microcrystalline cellulose, dicalcium phosphate), zinc citrate, anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Do not use with other zinc-containing supplements unless advised by a healthcare professional.","double-helix-vitamin-c-zinc-packshot.png","double-helix-vitamin-c-zinc-lifestyle.png"
daily-multivitamin,"Daily Multivitamin","<p>Daily multivitamin and mineral food supplement in tablets.</p><p><strong>Draft daily portion:</strong> one tablet.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,multivitamin,vegan",FALSE,"Title","Default Title","DH-MULTI-003",90,"shopify",100,"deny","manual",14.95,TRUE,TRUE,,"Daily Multivitamin | Double Helix","Daily multivitamin and mineral food supplement. 90 tablets.",DRAFT,"90 tablets",90,"1 tablet","Vitamins and minerals blend (vitamin C, niacin, vitamin E, pantothenic acid, vitamin B6, thiamin, riboflavin, vitamin A, folic acid, biotin, vitamin D3, vitamin B12, zinc, iron, manganese, copper, iodine, selenium, chromium), bulking agents (microcrystalline cellulose, dicalcium phosphate), anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Contains vitamin A. Do not use with other vitamin A-containing supplements unless advised by a healthcare professional.","double-helix-daily-multivitamin-packshot.png","double-helix-daily-multivitamin-lifestyle.png"
b-complex,"B-Complex","<p>B-vitamin food supplement in capsules.</p><p><strong>Draft daily portion:</strong> one capsule.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,b vitamins,vegan",FALSE,"Title","Default Title","DH-BCX-004",45,"shopify",100,"deny","manual",12.95,TRUE,TRUE,,"B-Complex | Double Helix","B-vitamin food supplement. 60 capsules.",DRAFT,"60 vegan capsules",60,"1 capsule","Choline bitartrate, inositol, capsule shell (hydroxypropyl methylcellulose), niacin, pantothenic acid, vitamin B6, thiamin, riboflavin, folic acid, biotin, vitamin B12, anti-caking agent (magnesium salts of fatty acids).","None declared.","Do not use with other high-dose vitamin B6 supplements unless advised by a healthcare professional.","double-helix-b-complex-packshot.png","double-helix-b-complex-lifestyle.png"
magnesium-glycinate,"Magnesium Glycinate","<p>Magnesium food supplement in capsules.</p><p><strong>Draft daily portion:</strong> two capsules.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,magnesium,vegan",FALSE,"Title","Default Title","DH-MAG-005",65,"shopify",100,"deny","manual",17.95,TRUE,TRUE,,"Magnesium Glycinate | Double Helix","Magnesium food supplement. 90 capsules.",DRAFT,"90 vegan capsules",45,"2 capsules","Magnesium bisglycinate, capsule shell (hydroxypropyl methylcellulose), rice flour, anti-caking agent (magnesium salts of fatty acids).","None declared.","High supplemental magnesium intake may cause mild stomach upset in sensitive individuals.","double-helix-magnesium-glycinate-packshot.png","double-helix-magnesium-glycinate-lifestyle.png"
calcium-d3-k2,"Calcium + D3 + K2","<p>Calcium, vitamin D3 and vitamin K2 food supplement in tablets.</p><p><strong>Draft daily portion:</strong> two tablets.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,calcium,vitamin d,vitamin k",FALSE,"Title","Default Title","DH-CAK-006",120,"shopify",100,"deny","manual",16.95,TRUE,TRUE,,"Calcium + D3 + K2 | Double Helix","Calcium, vitamin D3 and K2 food supplement. 90 tablets.",DRAFT,"90 tablets",45,"2 tablets","Calcium carbonate, bulking agent (microcrystalline cellulose), vitamin D3, vitamin K2 (menaquinone-7), anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Consult a healthcare professional before use if taking anticoagulant medication.","double-helix-calcium-d3-k2-packshot.png","double-helix-calcium-d3-k2-lifestyle.png"
gentle-iron-vitamin-c,"Gentle Iron + Vitamin C","<p>Iron and vitamin C food supplement in capsules.</p><p><strong>Draft daily portion:</strong> one capsule.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,iron,vitamin c,vegan",FALSE,"Title","Default Title","DH-IRON-007",45,"shopify",100,"deny","manual",13.95,TRUE,TRUE,,"Gentle Iron + Vitamin C | Double Helix","Iron and vitamin C food supplement. 60 capsules.",DRAFT,"60 vegan capsules",60,"1 capsule","Vitamin C (L-ascorbic acid), iron bisglycinate, capsule shell (hydroxypropyl methylcellulose), rice flour, anti-caking agent (magnesium salts of fatty acids).","None declared.","Keep iron-containing products out of reach of young children. Consult a healthcare professional before use if taking medication or managing a medical condition.","double-helix-gentle-iron-packshot.png","double-helix-gentle-iron-lifestyle.png"
zinc-picolinate,"Zinc Picolinate","<p>Zinc food supplement in tablets.</p><p><strong>Draft daily portion:</strong> one tablet.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,zinc,vegan",FALSE,"Title","Default Title","DH-ZINC-008",45,"shopify",100,"deny","manual",10.95,TRUE,TRUE,,"Zinc Picolinate | Double Helix","Zinc food supplement. 90 tablets.",DRAFT,"90 tablets",90,"1 tablet","Bulking agent (microcrystalline cellulose), zinc picolinate, anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Do not use with other zinc-containing supplements unless advised by a healthcare professional.","double-helix-zinc-picolinate-packshot.png","double-helix-zinc-picolinate-lifestyle.png"
selenium,"Selenium","<p>Selenium food supplement in tablets.</p><p><strong>Draft daily portion:</strong> one tablet.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,daily essentials,selenium,vegan",FALSE,"Title","Default Title","DH-SEL-009",45,"shopify",100,"deny","manual",9.95,TRUE,TRUE,,"Selenium | Double Helix","Selenium food supplement. 90 tablets.",DRAFT,"90 tablets",90,"1 tablet","Bulking agent (microcrystalline cellulose), L-selenomethionine, anti-caking agents (magnesium salts of fatty acids, silicon dioxide).","None declared.","Do not use with other selenium-containing supplements unless advised by a healthcare professional.","double-helix-selenium-packshot.png","double-helix-selenium-lifestyle.png"
omega-3-fish-oil,"Omega-3 Fish Oil","<p>Omega-3 fish oil food supplement in softgels.</p><p><strong>Draft daily portion:</strong> two softgels.</p><p>Do not exceed the stated recommended daily dose. Food supplements should not be used as a substitute for a varied, balanced diet and a healthy lifestyle. Keep out of reach of young children.</p>","Double Helix","Health & Beauty > Health Care > Vitamins & Supplements","Food supplement","double-helix,omega 3,fish oil,softgels",FALSE,"Title","Default Title","DH-FISH-010",55,"shopify",100,"deny","manual",18.95,TRUE,TRUE,,"Omega-3 Fish Oil | Double Helix","Omega-3 fish oil food supplement. 60 softgels.",DRAFT,"60 softgels",30,"2 softgels","Fish oil concentrate, softgel shell (gelatine, glycerol), antioxidant (mixed tocopherols).","Contains FISH.","Consult a healthcare professional before use if taking anticoagulant medication or before surgery.","double-helix-omega-3-fish-oil-packshot.png","double-helix-omega-3-fish-oil-lifestyle.png"
